"USGS_id","reach_id"
"02447025",73282400081
"02469761",73282100081
"02467000",73282300331
"02466030",73282500071
"02465000",73282500181
"02428400",73283000121
"02425000",73284000041
"02453500",73282800031
"02374250",73270600101
"02456500",73282900071
"02372430",73270600201
"02420000",73285000111
"02407000",73287000241
"02408540",73287000131
"02419890",73286000021
"02404400",73287000311
"02361500",73270200201
"02414715",73286000301
"02414500",73286000341
"02397530",73287000631
"023432415",73260500181
"15747000",81350100291
"15580095",81310200051
"15565447",81210300031
"15744500",81320300021
"15302000",81160600161
"15304000",81181900121
"15303900",81185000031
"15300500",81158000211
"15564900",81220100891
"15875000",81380500041
"15266300",81130400021
"15266110",81130400041
"15292700",81140400011
"15258000",81130400081
"15453500",81250100101
"15292000",81140700041
"15515500",81247100021
"15284000",81130800021
"15281000",81130600011
"15896000",81390200051
"15908000",81390400111
"15200280",81120400441
"15214000",81120100071
"15446000",81270400151
"15980000",81390900321
"15356000",81270501241
"15129120",81110200291
"15024800",78380100051
"09520500",77221100121
"09520280",77221300051
"09404200",77235000141
"09514100",77221700181
"09510000",77222300021
"09380000",77250000211
"09498500",77222200171
"09402500",77239000141
"07249455",74241700331
"07340000",74224000101
"07337000",74225000031
"07344370",74223900011
"07341500",74223900071
"07356000",74222900671
"07359002",74222900511
"07362000",74222900141
"07263451",74241300241
"07263450",74241300241
"07057370",74252900011
"07060500",74252700151
"07363500",74222800091
"07061000",74252700061
"07076750",74252300111
"07077000",74252300041
"07074850",74252500041
"07074420",74252600031
"07074500",74252500101
"07072500",74252600111
"07069000",74252600141
"11477000",77460000031
"11530500",77480100021
"11377100",77449300051
"11389500",77449100071
"11390500",77449100041
"11425500",77445000021
"11303500",77442300021
"11446500",77444000041
"11274550",77442500051
"11274000",77442500061
"09429600",77231000011
"09429100",77231000241
"09371010",77260300271
"09163500",77280300081
"09179450",77280200051
"09260050",77296000051
"09152500",77280400041
"09260000",77296000391
"09106150",77280500021
"09095500",77280500091
"09361500",77260600361
"09363500",77260600331
"09362520",77260600361
"09136100",77280400231
"09128000",77280400201
"09247600",77296000161
"09244490",77296000181
"09085100",77280500171
"09085000",77280600011
"09346400",77260900111
"09081000",77280600031
"09070000",77280800021
"09060799",77280900051
"09058000",77280900091
"08251500",75219700091
"07099970",74249900181
"07109500",74249900141
"06759500",74294600261
"07124000",74249900011
"07128500",74249800011
"07130500",74249700101
"07134180",74249500031
"01200500",73130000091
